log_time,sim_time,speed,rpm,x,y,z,pitch,roll,steering,acc_pedal,brake_pedal,clutch_pedal
1765532783.7586296,1765532783,0.0,1.6815581571897805e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.44999998807907104,0.0
1765532783.7751343,1765532783,0.0,1.6815581571897805e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.44999998807907104,0.0
1765532783.7911344,1765532783,0.0,1.6815581571897805e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.44999998807907104,0.0
1765532783.808134,1765532783,0.0,1.6815581571897805e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.44999998807907104,0.0
1765532783.825134,1765532783,0.0,1.6815581571897805e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.44999998807907104,0.0
1765532783.8421347,1765532783,0.0,1.6815581571897805e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.44999998807907104,0.0
1765532783.8581953,1765532783,0.0,1.6815581571897805e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.44999998807907104,0.0
1765532783.8747492,1765532783,0.0,1.6815581571897805e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.44999998807907104,0.0
1765532783.8917494,1765532783,0.0,1.6815581571897805e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.44999998807907104,0.0
1765532783.9087493,1765532783,0.0,1.6815581571897805e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.44999998807907104,0.0
1765532783.924749,1765532783,0.0,1.6815581571897805e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.44999998807907104,0.0
1765532783.9417493,1765532783,0.0,1.6815581571897805e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.44999998807907104,0.0
1765532783.9587982,1765532783,0.0,1.6815581571897805e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.44999998807907104,0.0
1765532783.9823205,1765532783,0.0,1.6815581571897805e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.44999998807907104,0.0
1765532783.991483,1765532783,0.0,1.6815581571897805e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.44999998807907104,0.0
1765532784.0088065,1765532784,0.0,1.6815581571897805e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.44999998807907104,0.0
1765532784.0251179,1765532784,0.0,1.6815581571897805e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.44999998807907104,0.0
1765532784.0441332,1765532784,0.0,1.6815581571897805e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.44999998807907104,0.0
1765532784.0582476,1765532784,0.0,1.6815581571897805e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.44999998807907104,0.0
1765532784.0748363,1765532784,0.0,1.6815581571897805e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.44999998807907104,0.0
1765532784.0918355,1765532784,0.0,1.6815581571897805e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.44999998807907104,0.0
1765532784.1079829,1765532784,0.0,1.6815581571897805e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.44999998807907104,0.0
1765532784.1250904,1765532784,0.0,1.6815581571897805e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.44999998807907104,0.0
1765532784.1421113,1765532784,0.0,1.6815581571897805e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.44999998807907104,0.0
1765532784.1581137,1765532784,0.0,1.6815581571897805e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.44999998807907104,0.0
1765532784.175402,1765532784,0.0,1.6815581571897805e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.44999998807907104,0.0
1765532784.1913931,1765532784,0.0,1.6815581571897805e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.44999998807907104,0.0
1765532784.208456,1765532784,0.0,1.6815581571897805e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.44999998807907104,0.0
1765532784.2254555,1765532784,0.0,1.6815581571897805e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.44999998807907104,0.0
1765532784.2414553,1765532784,0.0,1.6815581571897805e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.44999998807907104,0.0
1765532784.2584686,1765532784,0.0,1.6815581571897805e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.44999998807907104,0.0
1765532784.274768,1765532784,0.0,1.6815581571897805e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.44999998807907104,0.0
1765532784.2927833,1765532784,0.0,1.6815581571897805e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.44999998807907104,0.0
1765532784.3077853,1765532784,0.0,1.6815581571897805e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.44999998807907104,0.0
1765532784.3247828,1765532784,0.0,1.6815581571897805e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.44999998807907104,0.0
1765532784.3417826,1765532784,0.0,1.6815581571897805e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.44999998807907104,0.0
1765532784.3577843,1765532784,0.0,1.6815581571897805e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.44999998807907104,0.0
1765532784.3753035,1765532784,0.0,1.6815581571897805e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.44999998807907104,0.0
1765532784.3914347,1765532784,0.0,1.6815581571897805e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.44999998807907104,0.0
1765532784.4085836,1765532784,0.0,1.6815581571897805e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.44999998807907104,0.0
1765532784.4245834,1765532784,0.0,1.6815581571897805e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.44999998807907104,0.0
1765532784.4415832,1765532784,0.0,1.6815581571897805e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.44999998807907104,0.0
1765532784.4585853,1765532784,0.0,1.6815581571897805e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.44999998807907104,0.0
1765532784.4753091,1765532784,0.0,1.6815581571897805e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.44999998807907104,0.0
1765532784.4913092,1765532784,0.0,1.6815581571897805e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.44999998807907104,0.0
1765532784.508309,1765532784,0.0,1.6815581571897805e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.44999998807907104,0.0
1765532784.5253088,1765532784,0.0,1.6815581571897805e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.44999998807907104,0.0
1765532784.5421095,1765532784,0.0,1.6815581571897805e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.44999998807907104,0.0
1765532784.5582118,1765532784,0.0,1.6815581571897805e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.44999998807907104,0.0
1765532784.5747938,1765532784,0.0,1.6815581571897805e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.44999998807907104,0.0
1765532784.5918813,1765532784,0.0,1.6815581571897805e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.44999998807907104,0.0
1765532784.612457,1765532784,0.0,1.6815581571897805e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.44999998807907104,0.0
1765532784.6246223,1765532784,0.0,1.6815581571897805e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.44999998807907104,0.0
1765532784.641706,1765532784,0.0,1.6815581571897805e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.44999998807907104,0.0
1765532784.6587076,1765532784,0.0,1.6815581571897805e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.44999998807907104,0.0
1765532784.6752145,1765532784,0.0,1.6815581571897805e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.44999998807907104,0.0
1765532784.6917095,1765532784,0.0,1.6815581571897805e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.44999998807907104,0.0
1765532784.7087088,1765532784,0.0,1.6815581571897805e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.44999998807907104,0.0
1765532784.7248654,1765532784,0.0,1.6815581571897805e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.44999998807907104,0.0
1765532784.7419922,1765532784,0.0,1.6815581571897805e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.44999998807907104,0.0
1765532784.757995,1765532784,0.0,1.6815581571897805e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.44999998807907104,0.0
1765532784.7766192,1765532784,0.0,1.6815581571897805e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.44999998807907104,0.0
1765532784.7919717,1765532784,0.0,1.6815581571897805e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.44999998807907104,0.0
1765532784.8080602,1765532784,0.0,1.6815581571897805e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.44999998807907104,0.0
1765532784.8244967,1765532784,0.0,1.6815581571897805e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.44999998807907104,0.0
1765532784.8474908,1765532784,0.0,1.6815581571897805e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.44999998807907104,0.0
1765532784.8585014,1765532784,0.0,1.6815581571897805e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.44999998807907104,0.0
1765532784.8750982,1765532784,0.0,1.6815581571897805e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.44999998807907104,0.0
1765532784.8917584,1765532784,0.0,1.6815581571897805e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.44999998807907104,0.0
1765532784.9087825,1765532784,0.0,1.6815581571897805e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.44999998807907104,0.0
1765532784.92486,1765532784,0.0,1.6815581571897805e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.44999998807907104,0.0
1765532784.9421117,1765532784,0.0,1.6815581571897805e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.44999998807907104,0.0
1765532784.9581141,1765532784,0.0,1.6815581571897805e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.44999998807907104,0.0
1765532784.9754205,1765532784,0.0,1.6815581571897805e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.44999998807907104,0.0
1765532784.9914203,1765532784,0.0,1.6815581571897805e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.44999998807907104,0.0
1765532785.00842,1765532785,0.0,1.6815581571897805e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.44999998807907104,0.0
1765532785.02542,1765532785,0.0,1.6815581571897805e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.44999998807907104,0.0
1765532785.0414197,1765532785,0.0,1.6815581571897805e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.44999998807907104,0.0
1765532785.0584342,1765532785,0.0,1.6815581571897805e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.44999998807907104,0.0
1765532785.0752404,1765532785,0.0,1.6815581571897805e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.44999998807907104,0.0
1765532785.091241,1765532785,0.0,1.6815581571897805e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.44999998807907104,0.0
1765532785.1082397,1765532785,0.0,1.6815581571897805e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.44999998807907104,0.0
1765532785.1252403,1765532785,0.0,1.6815581571897805e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.44999998807907104,0.0
1765532785.14124,1765532785,0.0,1.6815581571897805e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.44999998807907104,0.0
