driving_style,avg_speed,min_speed,max_speed,max_acceleration,max_deceleration,max_steering,max_steering_diff,min_acc_pedal,max_acc_pedal,quantile_0.25_acc_pedal,median_acc_pedal,quantile_0.75_acc_pedal,min_brake_pedal,max_brake_pedal,quantile_0.25_brake_pedal,median_brake_pedal,quantile_0.75_brake_pedal
fast,0.176860880057017,0.0,3.867567539215088,0.0028748512268066406,-0.1720113754272461,4.5403361320495605,0.1720113754272461,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fast,0.5909474555651347,0.0,4.339974880218506,0.0028748512268066406,-0.1842295583337545,4.5403361320495605,0.1842295583337545,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fast,1.198168570995331,0.0,7.533215522766113,0.19381237030029297,-0.1842295583337545,4.5403361320495605,0.19381237030029297,0.0,1.0,0.0,0.0,0.08134708553552622,0.0,0.0,0.0,0.0,0.0
fast,1.9363988860448202,0.0,7.560326099395752,0.22759175300598145,-0.1842295583337545,5.718782424926758,0.22759175300598145,0.0,1.0,0.0,0.0,0.22519609332084656,0.0,0.0,0.0,0.0,0.0
fast,2.674059833685557,0.0,8.044027328491211,0.22759175300598145,-0.1842295583337545,6.286564350128174,0.22759175300598145,0.0,1.0,0.0,0.0,0.4841151237487793,0.0,0.0,0.0,0.0,0.0
fast,3.6146464959780373,0.0,10.371006965637209,0.22759175300598145,-0.1842295583337545,6.286564350128174,0.22759175300598145,0.0,1.0,0.0,0.0238044261932373,0.6953184604644775,0.0,0.0,0.0,0.0,0.0
fast,4.65763045390447,0.0,10.61228084564209,0.2534651756286621,-0.1842295583337545,6.286564350128174,0.2534651756286621,0.0,1.0,0.0,0.13492232561111445,0.6953184604644775,0.0,0.0,0.0,0.0,0.0
fast,5.63528683826402,0.0,10.61228084564209,0.2534651756286621,-0.1842295583337545,6.286564350128174,0.2534651756286621,0.0,1.0,0.0,0.1706289947032928,0.6953184604644775,0.0,0.0,0.0,0.0,0.0
fast,6.67950812737147,0.0,11.130016326904297,0.2534651756286621,-0.20507216453552246,6.286564350128174,0.2534651756286621,0.0,1.0,0.0,0.40871912240982056,0.8281197547912598,0.0,0.0,0.0,0.0,0.0
fast,7.868801400661469,0.0,12.3870849609375,0.2534651756286621,-0.20507216453552246,6.286564350128174,0.2534651756286621,0.0,1.0,0.0,0.5312509536743164,0.8525345623493195,0.0,0.0,0.0,0.0,0.0
fast,8.865526889165242,3.922387599945069,12.3870849609375,0.2534651756286621,-0.20507216453552246,6.286564350128174,0.2534651756286621,0.0,0.91405987739563,0.0,0.3769798874855041,0.8164006471633911,0.0,0.7804834246635437,0.0,0.0,0.0
fast,9.0226197518905,1.4969929456710815,12.3870849609375,0.2534651756286621,-0.20507216453552246,6.286564350128174,0.2534651756286621,0.0,0.91405987739563,0.0,0.26784569025039673,0.8164006471633911,0.0,2.10737943649292,0.0,0.0,0.0
fast,8.488897002960245,0.0,12.3870849609375,0.2534651756286621,-0.20507216453552246,6.286564350128174,0.2534651756286621,0.0,1.0,0.0,0.1984008252620697,0.7939390242099762,0.0,2.10737943649292,0.0,0.0,0.0
fast,8.22113038899998,0.0,12.3870849609375,0.2534651756286621,-0.20507216453552246,6.286564350128174,0.2534651756286621,0.0,1.0,0.0,0.4722129106521606,0.8671834468841553,0.0,2.10737943649292,0.0,0.0,0.0
fast,8.370544050800026,0.0,12.3870849609375,0.2534651756286621,-0.20507216453552246,5.859889507293701,0.2534651756286621,0.0,1.0,0.0,0.6406292915344238,0.8671834468841553,0.0,2.10737943649292,0.0,0.0,0.0
fast,8.368456932331124,0.0,12.3870849609375,0.2534651756286621,-0.20507216453552246,5.859889507293701,0.2534651756286621,0.0,1.0,0.0,0.05952635407447815,0.8671834468841553,0.0,2.10737943649292,0.0,0.0,0.0
fast,8.27379480642577,0.0,12.3870849609375,0.10301518440246582,-0.20507216453552246,5.859889507293701,0.20507216453552246,0.0,1.0,0.0,0.20038452744483945,0.8671834468841553,0.0,2.10737943649292,0.0,0.0,0.0
fast,8.148160738104988,0.0,12.3870849609375,0.10301518440246582,-0.20507216453552246,5.859889507293701,0.20507216453552246,0.0,1.0,0.0,0.0793633759021759,0.8671834468841553,0.0,2.10737943649292,0.0,0.0,0.0
fast,7.567056529348095,0.0,12.3870849609375,0.12050390243530251,-0.1233786940574646,5.859889507293701,0.1233786940574646,0.0,1.0,0.0,0.0,0.8671834468841553,0.0,2.10737943649292,0.0,0.0,0.0
fast,6.61964751476537,0.0,12.308974266052246,0.12194132804870605,-0.1233786940574646,5.859889507293701,0.1233786940574646,0.0,1.0,0.0,0.0,1.0,0.0,2.10737943649292,0.0,0.0,0.0
fast,6.153482348844409,0.0,9.85210418701172,0.12194132804870605,-0.1233786940574646,5.859889507293701,0.1233786940574646,0.0,1.0,0.0,0.1884823143482208,1.0,0.0,2.10737943649292,0.0,0.0,0.0
fast,6.6574977875997625,0.0,12.396543502807615,0.12194132804870605,-0.1233786940574646,5.859889507293701,0.1233786940574646,0.0,1.0,0.0,0.6464888453483582,1.0,0.0,0.7336069941520691,0.0,0.0,0.0
fast,7.979034757912159,0.777712345123291,15.084715843200684,0.12194132804870605,-0.1233786940574646,5.859889507293701,0.1233786940574646,0.0,1.0,0.0,1.0,1.0,0.0,0.7336069941520691,0.0,0.0,0.0
fast,9.09149416555961,0.777712345123291,16.300216674804688,0.12194132804870605,-0.1233786940574646,5.843838214874268,0.1233786940574646,0.0,1.0,0.0,0.7695242166519165,1.0,0.0,0.7336069941520691,0.0,0.0,0.0
fast,9.81406139165163,0.777712345123291,16.397764205932617,0.12194132804870605,-0.1233786940574646,5.843838214874268,0.1233786940574646,0.0,1.0,0.0,0.5234382152557373,1.0,0.0,0.7336069941520691,0.0,0.0,0.0
fast,10.495849302113056,0.777712345123291,16.397764205932617,0.12194132804870605,-0.1233786940574646,5.843838214874268,0.1233786940574646,0.0,1.0,0.0,0.5234382152557373,1.0,0.0,0.7336069941520691,0.0,0.0,0.0
fast,11.144201666017373,0.777712345123291,16.397764205932617,0.12194132804870605,-0.11906647682189941,5.843838214874268,0.12194132804870605,0.0,1.0,0.0,0.6601611375808716,1.0,0.0,0.7336069941520691,0.0,0.0,0.0
fast,11.97124366949002,0.777712345123291,17.347875595092773,0.12194132804870605,-0.11906647682189941,5.843838214874268,0.12194132804870605,0.0,1.0,0.230155348777771,0.7617114782333374,1.0,0.0,0.7336069941520691,0.230155348777771,0.0,0.0
fast,13.260197587112586,0.777712345123291,17.607027053833008,0.12194132804870605,-0.11906647682189941,5.843838214874268,0.12194132804870605,0.0,1.0,0.2658619880676269,0.7617114782333374,1.0,0.0,0.0,0.2658619880676269,0.0,0.0
fast,14.762960398256679,4.562020778656006,17.64140510559082,0.03210240602493292,-0.11906647682189941,5.7259697914123535,0.11906647682189941,0.0,1.0,0.2063356339931488,0.6640675067901611,1.0,0.0,0.0,0.2063356339931488,0.0,0.0
fast,15.812590676943461,9.164423942565918,17.64140510559082,0.03210240602493292,-0.11667072772979736,3.2893002033233643,0.11667072772979736,0.0,1.0,0.1577349230647087,0.386898398399353,0.8320261240005493,0.0,0.0,0.1577349230647087,0.0,0.0
fast,16.50337202866872,12.454465866088867,17.732900619506836,0.03210240602493292,-0.10612964630126942,0.9393551349639891,0.10612964630126942,0.0,1.0,0.1180455982685089,0.2976165115833282,0.7431714832782745,0.0,0.0,0.1180455982685089,0.0,0.0
fast,16.872418311283067,15.118219375610352,17.893098831176758,0.0218008989468216,-0.019165623933076803,0.4029572308063507,0.0218008989468216,0.0,1.0,0.1031678318977356,0.2618945837020874,0.6152378916740417,0.0,0.0,0.1031678318977356,0.0,0.0
fast,17.090714441935223,15.844030380249023,18.015972137451172,0.0218008989468216,-0.018686480820179,0.4173314571380615,0.0218008989468216,0.0,1.0,0.0952330231666565,0.2341227531433105,0.3898739516735077,0.0,0.0,0.0952330231666565,0.0,0.0
fast,17.274282916386923,15.844030380249023,18.120819091796875,0.017009491100907298,-0.018686480820179,0.5792809724807739,0.018686480820179,0.0,1.0,0.1031678318977356,0.2380901575088501,0.3690298199653625,0.0,0.0,0.1031678318977356,0.0,0.0
fast,17.456725856463116,15.844030380249023,18.120819091796875,0.012457653880119296,-0.01844692230224615,0.579520583152771,0.01844692230224615,0.0,1.0,0.0436567366123199,0.21626940369606015,0.3690298199653625,0.0,0.0,0.0436567366123199,0.0,0.0
fast,17.60458907445272,16.30415153503418,18.120819091796875,0.017488628625869793,-0.023477889597416007,0.579520583152771,0.023477889597416007,0.0,1.0,0.0,0.1587267816066742,0.329355776309967,0.0,0.0,0.0,0.0,0.0
fast,17.642150402069092,17.03278350830078,18.120819091796875,0.017488628625869793,-0.023477889597416007,0.579520583152771,0.023477889597416007,0.0,0.6015655994415283,0.0,0.14484083652496335,0.2579271793365478,0.0,0.0,0.0,0.0,0.0
fast,17.570105508168538,16.494190216064453,18.120819091796875,0.017488628625869793,-0.023477889597416007,0.579520583152771,0.023477889597416007,0.0,0.5234382152557373,0.0,0.1031678318977356,0.2222205400466919,0.0,0.0,0.0,0.0,0.0
fast,17.438621362050373,16.16976547241211,18.120819091796875,0.017488628625869793,-0.023477889597416007,0.579520583152771,0.023477889597416007,0.0,0.5234382152557373,0.0,0.10515153408050534,0.2420575618743896,0.0,0.0,0.0,0.0,0.0
fast,17.319310127894084,16.16976547241211,18.120819091796875,0.017488628625869793,-0.023477889597416007,0.579520583152771,0.023477889597416007,0.0,0.5234382152557373,0.0,0.1111026406288147,0.2579271793365478,0.0,0.0,0.0,0.0,0.0
fast,17.192576347986858,16.16976547241211,18.120819091796875,0.017488628625869793,-0.023477889597416007,0.579520583152771,0.023477889597416007,0.0,0.5234382152557373,0.0,0.1507919430732727,0.3105105757713318,0.0,0.0,0.0,0.0,0.0
fast,17.082044801378807,16.16976547241211,18.120819091796875,0.017488628625869793,-0.023477889597416007,0.579520583152771,0.023477889597416007,0.0,0.4880825281143188,0.0,0.1706289947032928,0.329355776309967,0.0,0.0,0.0,0.0,0.0
fast,16.943898410797118,16.16976547241211,18.120819091796875,0.017488628625869793,-0.023477889597416007,0.579520583152771,0.023477889597416007,0.0,0.3769798874855041,0.0,0.21626941859722135,0.329355776309967,0.0,0.0,0.0,0.0,0.0
fast,16.79697309176127,16.16976547241211,18.056190490722656,0.017488628625869793,-0.023477889597416007,0.579520583152771,0.023477889597416007,0.0,0.3769798874855041,0.0,0.2856990098953247,0.329355776309967,0.0,0.0,0.0,0.0,0.0
fast,16.6506932926178,16.16976547241211,17.67341423034668,0.017488628625869793,-0.023477889597416007,0.2810159623622894,0.023477889597416007,0.0,0.3769798874855041,0.0486121773719787,0.2856990098953247,0.3412579894065857,0.0,0.0,0.0486121773719787,0.0,0.0
